x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jitender Singh Tomar,727,"63,012",55.7%,Aam Aadmi Party,
2,2,Nand Kishore Garg,727,"40,701",36.0%,Bharatiya Janta Party,
3,3,Anil Bhardwaj,90,"7,939",7.0%,Indian National Congress,
4,4,Nitya Nand Singh,58,317,0.3%,Bahujan Samaj Party,
5,5,Lalita Agarwal,58,275,0.2%,Independent,
6,6,Khalid Ali,58,139,0.1%,Independent,
7,7,Mohammad Saleem,58,101,0.1%,Nationalist Congress Party,
8,8,Neelam Nigam,58,80,0.1%,Janata Dal (United),
9,9,Nandkishor Prasad Yadav,58,61,0.1%,Independent,
10,10,Amit Kumar,58,33,0.0%,Independent,
11,11,Sandeep Kansal,58,28,0.0%,Shiv Sena,
12,12,Manish Kukreja,58,18,0.0%,Samras Samaj Party,
13,13,Bashiruddin,58,7,0.0%,All India Minorities Front,
