x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vishesh Ravi,315,"67,429",59.8%,Aam Aadmi Party,
2,2,Yogender Chandoliya,315,"34,549",30.6%,Bharatiya Janta Party,
3,3,Madan Khorwal,80,"9,144",8.1%,Indian National Congress,
4,4,Yogesh,52,559,0.5%,Bahujan Samaj Party,
5,5,Amit,52,182,0.2%,Akhil Bharat Hindu Mahasabha,
6,6,Pardeep Kumar Jatav,52,175,0.2%,Independent,
7,7,Sanjay Kumar Akarnia,52,99,0.1%,Independent,
8,8,Ranjan Khatumaria,52,77,0.1%,Independent,
9,9,Deepak Kumar,52,54,0.1%,Independent,
10,10,Kishore Kumar,52,48,0.0%,Shiv Sena,
11,11,Dhan Raj Chauhan,52,24,0.0%,Naya Daur Party,
