x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Karan Singh Yadav,"246,833",45.7%,Indian National Congress, AC View
2,2,Mahant Chandnath,"238,462",44.1%,Bharatiya Janta Party, AC View
3,3,Bhai Shree Nath Gurjar,"21,247",3.9%,Bahujan Samaj Party, AC View
4,4,Pt. R. D. Sharma,"16,627",3.1%,Independent, AC View
5,5,Chandrabhan,"5,833",1.1%,Indian National Lok Dal, AC View
6,6,Subhash,"5,190",1.0%,Independent, AC View
7,7,Sagar Mal,"3,643",0.7%,Independent, AC View
8,8,Manjul Kaushik,"1,643",0.3%,Samajwadi Party, AC View
9,9,Laxman Saini,"1,058",0.2%,Independent, AC View
10,10,Baksha Nand Bharti,985,0.2%,Samata Samaj Party, AC View
11,11,Ramesh Chand,730,0.1%,Independent, AC View
12,12,Mool Chand,625,0.1%,Independent, AC View
