x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rana Gurjeet Singh,17013,"344,619",46.4%,Indian National Congress, AC View
2,2,Naresh Gujral,17013,"311,156",41.9%,Shiromani Akali Dal, AC View
3,3,Devi Dass Nahar,175,"69,188",9.3%,Bahujan Samaj Party, AC View
4,4,Vinay Jalandhari,84,"3,716",0.5%,Independent, AC View
5,5,Balkar Singh,84,"3,342",0.5%,Bharatiya Gaon Taj Dal, AC View
6,6,Manohar Lal,84,"2,088",0.3%,Independent, AC View
7,7,Hamid Masih,84,"2,078",0.3%,Independent, AC View
8,8,Kulbhushan Kumar,84,"1,837",0.2%,Independent, AC View
9,9,Sandeep Jairath,84,"1,591",0.2%,Independent, AC View
10,10,Vijay Kumar Hans,84,"1,288",0.2%,Democratic Bharatiya Samaj Party, AC View
11,11,Dr. Kuldeep Singh Dhillon,84,836,0.1%,Independent, AC View
