x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tapir Gao,373,"83,335",51.2%,Bharatiya Janta Party, AC View
2,2,Wangcha Rajkumar,373,"38,341",23.6%,Indian National Congress, AC View
3,3,Tony Pertin,144,"17,009",10.5%,Independent, AC View
4,4,Matwang Chimyang,144,"16,476",10.1%,Independent, AC View
5,5,Ogong Tamuk,87,"5,251",3.2%,Independent, AC View
6,6,Onom Taknyo,79,"2,962",1.8%,Independent, AC View
