x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Aaron Rashid J. M.,40001,"346,851",49.7%,Indian National Congress, AC View
2,2,Dhinakaran. T T V,40001,"325,696",46.7%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Veerajothimurugan. S,81,"4,852",0.7%,Jharkhand Party, AC View
4,4,Thangadurai. K,81,"4,089",0.6%,Independent, AC View
5,5,Damodaran. M,81,"3,950",0.6%,Independent, AC View
6,6,Thirukkannan. M,81,"2,596",0.4%,Independent, AC View
7,7,Venugopal. S,81,"1,744",0.2%,Independent, AC View
8,8,Suruliappan. P,81,"1,583",0.2%,Independent, AC View
9,9,Abdul Jabar. K V,81,"1,052",0.2%,Independent, AC View
10,10,Veerapandiyan. M,81,737,0.1%,Independent, AC View
11,11,Shahul. P M,81,651,0.1%,Independent, AC View
12,12,Uthayasuriyan. K,81,550,0.1%,Independent, AC View
13,13,Chandrasekhar Alias Chandran. E,81,507,0.1%,Independent, AC View
14,14,Kannan. K,81,487,0.1%,Independent, AC View
15,15,Ramakrishnan. Maha,81,477,0.1%,Independent, AC View
16,16,Anandakumar. K,81,467,0.1%,Independent, AC View
17,17,Palanichamy. K,81,465,0.1%,Independent, AC View
18,18,Eraniyan. R,81,434,0.1%,Independent, AC View
19,19,Govindarasu. S,81,429,0.1%,Independent, AC View
20,20,Guruvu. K,81,387,0.1%,Independent, AC View
21,20,Bommurasu. M,81,387,0.1%,Independent, AC View
22,22,Krishnasamy. S R,81,366,0.1%,Independent, AC View
23,23,Veeranan. A,81,357,0.1%,Independent, AC View
24,24,Periyasubbian. P,81,303,0.0%,Independent, AC View
25,25,Mohanraj Alias Gourmohandass.  V S,81,256,0.0%,Independent, AC View
26,26,Ravi. M,81,230,0.0%,Independent, AC View
27,27,Balu. V,81,227,0.0%,Independent, AC View
28,28,Pethanan. K,81,225,0.0%,Independent, AC View
29,29,Prabakaran. S N,81,179,0.0%,Independent, AC View
