x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dutt Priya Sunil,8787,"385,755",51.6%,Indian National Congress, AC View
2,2,Sanjay Nirupam,8787,"338,397",45.3%,Shiv Sena, AC View
3,3,Ismail Makwana,74,"6,867",0.9%,Bahujan Samaj Party, AC View
4,4,Shekhar Vaishnav,74,"4,019",0.5%,Independent, AC View
5,5,Khare Jayawant Mahadev,74,"2,851",0.4%,Lok Rajya Party, AC View
6,6,Perimal John Baburao,74,"1,949",0.3%,Independent, AC View
7,7,Raj Singh,74,"1,582",0.2%,Independent, AC View
8,8,Krishnan K. K.,74,"1,194",0.2%,Independent, AC View
9,9,Aarti Mehta,74,"1,113",0.1%,Independent, AC View
10,10,Dubey Satyadev,74,840,0.1%,Independent, AC View
11,11,Diliprao D. Patil,74,829,0.1%,Bharatiya Minorities Suraksha Mahasangh, AC View
12,12,Anand Ravinder Singh,74,796,0.1%,Independent, AC View
13,13,Ramchandra Narayan Kachave,74,762,0.1%,Kranti Kari Jai Hind Sena, AC View
14,14,Patel Sairabano Mohammed,74,733,0.1%,Independent, AC View
