x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,C. S. Sujatha,196000,"278,281",43.3%,Communist Party Of India (MARXIST), AC View
2,2,Ramesh Chennithala,196000,"270,867",42.1%,Indian National Congress, AC View
3,3,S Krishnakumar,400,"83,013",12.9%,Bharatiya Janta Party, AC View
4,4,Adv Saji K Cheraman,200,"4,918",0.8%,Bahujan Samaj Party, AC View
5,5,Adv V C Zachariah,200,"2,987",0.5%,Social Action Party, AC View
6,6,S Radhamani,200,"2,353",0.4%,Independent, AC View
7,7,Dr K Kishorekumar,200,"1,298",0.2%,Independent, AC View
8,8,R Kavitha,200,897,0.1%,Independent, AC View
