x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Saleem Iqbal Shervani,4315,"265,713",45.0%,Samajwadi Party, AC View
2,2,Brijpal Singh Shakya,4315,"214,391",36.3%,Bharatiya Janta Party, AC View
3,3,Prem Pal Singh Yadav,238,"75,886",12.9%,Bahujan Samaj Party, AC View
4,4,Mahboob Husain Ansari,112,"20,359",3.5%,Indian National Congress, AC View
5,5,Rao Govind Singh Yadav,87,"4,532",0.8%,Independent, AC View
6,6,Anoop Saxena,87,"2,929",0.5%,Jharkhand Party, AC View
7,7,Rajendra Singh Pal,87,"2,481",0.4%,Labour Party (Secular), AC View
8,8,Hulasi,87,"2,146",0.4%,Ambedkar Samaj Party, AC View
9,9,Riyasat Khan,87,"1,572",0.3%,Samata Party, AC View
