x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijay Krishna,18122,"426,856",49.4%,Rashtriya Janata Dal, AC View
2,2,Nitish Kumar,18122,"389,168",45.0%,Janata Dal (United), AC View
3,3,Anandi Mahto,86,"16,240",1.9%,Bahujan Samaj Party, AC View
4,4,Mithilesh Yadav,83,"12,940",1.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Satendra Kumar Singh,75,"7,983",0.9%,Independent, AC View
6,6,Sarbind Kumar,75,"4,810",0.6%,Independent, AC View
7,7,Indra Kumar Singh Chandapuri,75,"4,563",0.5%,Samajwadi Party, AC View
8,8,Sanjay Kumar,75,"1,542",0.2%,Rashtriya Lok Dal, AC View
