x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Selja,378,"415,264",49.0%,Indian National Congress, AC View
2,2,Rattan Lal Kataria,378,"180,329",21.3%,Bharatiya Janta Party, AC View
3,3,Balwant Singh,239,"130,972",15.5%,Indian National Lok Dal, AC View
4,4,Chander Pal,129,"57,028",6.7%,Bahujan Samaj Party, AC View
5,5,Aman Kumar Nagra,94,"22,039",2.6%,Haryana Vikas Party, AC View
6,6,Ranbir Singh,88,"13,292",1.6%,Ekta Shakti, AC View
7,7,Sunil Kumar,80,"9,574",1.1%,Independent, AC View
8,8,Raunaq Singh,78,"7,324",0.9%,Independent, AC View
9,9,Jaswinder Singh,78,"3,477",0.4%,Independent, AC View
10,10,Hem Raj,78,"2,262",0.3%,Lok Jan Shakti Party, AC View
11,11,Arvind Kumar Sonkar,78,"2,224",0.3%,Akhil Bharat Hindu Mahasabha, AC View
12,12,Ram Sarup,78,"2,098",0.2%,Independent, AC View
13,13,Sanjeev Gharu,78,"1,842",0.2%,Samata Party, AC View
