x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anant Gudhe,62887,"203,216",30.1%,Shiv Sena, AC View
2,2,Omprakash Alias Bacchu Babaraoji Kadu,62887,"188,982",28.0%,Independent, AC View
3,3,Dadasaheb R. S. Gawai,4424,"150,902",22.3%,Republican Party Of India, AC View
4,4,Haji Rafique Seth,623,"78,606",11.6%,Independent, AC View
5,5,Semalkar Ronya Chhotelal,263,"31,573",4.7%,Bahujan Samaj Party, AC View
6,6,Jawarkar Namdeorao Shaligramji,170,"8,327",1.2%,Bharipa Bahujan Mahasangh, AC View
7,7,Dnyaneshwar Raurale,140,"4,132",0.6%,Ambedkarist Republican Party, AC View
8,8,Bandu Sampatrao Sane (BANDYA),140,"4,029",0.6%,Independent, AC View
9,9,Kalmegh Namdeo Motiram,140,"3,337",0.5%,Independent, AC View
10,10,Gajanan Nagorao Londe,140,"3,317",0.5%,Independent, AC View
