x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Venugopal, D.",608,"453,786",58.6%,Dravida Munetra Kazhagam, AC View
2,2,Subramani. K. G,608,"272,884",35.2%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Irshad Ahamed. H. S,71,"12,327",1.6%,Janata Dal (United), AC View
4,4,Rajendiran. P,64,"8,284",1.1%,Bahujan Samaj Party, AC View
5,5,Sathtar Basha. A. K.,64,"6,171",0.8%,Independent, AC View
6,6,Vijayakumar. P,64,"4,171",0.5%,Jharkhand Party, AC View
7,7,Ramu. G,64,"4,117",0.5%,Independent, AC View
8,8,Venugopal. P,64,"3,733",0.5%,Independent, AC View
9,9,Prabhakaran. K,64,"2,287",0.3%,Independent, AC View
10,10,Kumar. P,64,"1,355",0.2%,Independent, AC View
11,11,Nowsath. B,64,"1,305",0.2%,Independent, AC View
12,12,Subramanian. S,64,"1,279",0.2%,Independent, AC View
13,13,Ayodhi. L,64,"1,256",0.2%,Independent, AC View
14,14,Srinivasan. R,64,"1,065",0.1%,Independent, AC View
15,15,Kamaraj. A,64,"1,046",0.1%,Independent, AC View
16,16,Arunachalam. C,64,"1,019",0.1%,Independent, AC View
