x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Adhir Ranjan Chowdhury,3375,"508,095",51.5%,Indian National Congress, AC View
2,2,Pramothes Mukherjee,3375,"409,194",41.4%,Revolutionary Socialist Party, AC View
3,3,Tapas Kumar Chatterjee,100,"41,490",4.2%,Bharatiya Janta Party, AC View
4,4,Jyotirmoy Thakur,73,"9,672",1.0%,Independent, AC View
5,5,Apurba Banerjee,73,"6,818",0.7%,Independent, AC View
6,6,Sunil Kumar Mondal,73,"5,643",0.6%,Bahujan Samaj Party, AC View
7,7,Ashim Roy,73,"3,798",0.4%,Independent, AC View
8,8,Krishna Prosad Biswas,73,"3,428",0.3%,Independent, AC View
9,9,Ashoke Kumar Singha,73,"3,377",0.3%,Samajwadi Party, AC View
