x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Pro. Ram Gopal Yadav,424,"357,049",47.0%,Samajwadi Party, AC View
2,2,Tarannum Aqeel,424,"158,988",20.9%,Bahujan Samaj Party, AC View
3,3,Dharampal Yadav D.P.Yadav,330,"137,273",18.1%,Rashtriya Parivartan Dal, AC View
4,4,Omveer Singh,177,"74,815",9.9%,Bharatiya Janta Party, AC View
5,5,Ashok Yadav,94,"12,063",1.6%,Indian National Congress, AC View
6,6,Habiburrehman,83,"5,836",0.8%,Independent, AC View
7,7,Ajay,83,"2,544",0.3%,Independent, AC View
8,8,Shaqeel Allam Saifi,83,"2,224",0.3%,Navbharat Nirman Party, AC View
9,9,Bhagwan Sahay,83,"1,952",0.3%,Rashtriya Swabhimaan Party, AC View
10,10,Bhuvnesh,83,"1,756",0.2%,Independent, AC View
11,11,Manoj,83,"1,743",0.2%,Independent, AC View
12,12,Noor Muhammad Kureshi,83,"1,171",0.2%,Independent, AC View
13,13,Touseef Mu. Khan,83,"1,030",0.1%,Independent, AC View
14,14,Naresh Kumar Sharma,83,940,0.1%,Independent, AC View
