x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohan Jena,9600,"452,177",51.6%,Biju Janata Dal, AC View
2,2,Amiya Kanta Mallik,9600,"400,711",45.7%,Indian National Congress, AC View
3,3,Radhaballav Mallik,200,"13,017",1.5%,Independent, AC View
4,4,Bijay Kumar Mallik,200,"10,303",1.2%,Bharatiya Manavata Vikas Party, AC View
