x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vanlalzawma,7000,"182,864",52.9%,Mizo National Front, AC View
2,2,Dr. Laltluangliana Khiangte,7000,"159,170",46.1%,Independent, AC View
3,3,Tlangdingliana,200,"6,512",1.9%,Ephraim Union, AC View
