x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bellarmin. A. V.,544,"410,091",61.2%,Communist Party Of India (MARXIST), AC View
2,2,Radhakrishnan. P,544,"245,797",36.7%,Bharatiya Janta Party, AC View
3,3,Balasubramanian. T,60,"4,612",0.7%,Akhil Bharat Hindu Mahasabha, AC View
4,4,George Thomas. R,58,"4,519",0.7%,Independent, AC View
5,5,Jamaludheen. B,58,"3,336",0.5%,Independent, AC View
6,6,Sivakumar. B,58,"1,758",0.3%,Independent, AC View
7,7,Murugan. V. N.,58,"1,618",0.2%,Independent, AC View
8,8,Manikanta Prasad. M,58,717,0.1%,Shiv Sena, AC View
9,9,Prabhakaran. K,58,401,0.1%,Independent, AC View
10,10,Subash. P,58,355,0.1%,Independent, AC View
11,11,Thankamony. C,58,351,0.1%,Independent, AC View
