x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Santosh Gangwar,5600,"269,651",32.8%,Bharatiya Janta Party, AC View
2,2,Akbar Ahmed Dempi,5600,"210,007",25.5%,Bahujan Samaj Party, AC View
3,3,Praveen Singh Aron,3200,"191,342",23.3%,Indian National Congress, AC View
4,4,Islam Sabir,800,"120,474",14.6%,Samajwadi Party, AC View
5,5,Hari Om Singh,200,"9,450",1.1%,Independent, AC View
6,6,Sakir Husain,200,"3,671",0.4%,Independent, AC View
7,7,Omkar Singh,200,"3,144",0.4%,Independent, AC View
8,8,Guljari Lal,200,"3,069",0.4%,National Students Party, AC View
9,9,Nem Chandra,200,"3,005",0.4%,Apna Dal, AC View
10,10,Shakeel Ahmad Ansari,200,"2,659",0.3%,Independent, AC View
11,11,Yogendra Patel,200,"2,444",0.3%,Independent, AC View
12,12,Vrahaspati Giri,200,"1,450",0.2%,Shiv Sena, AC View
13,13,Janish,200,987,0.1%,Independent, AC View
14,14,Chhadammi Lal Sagar,200,807,0.1%,Independent, AC View
15,15,Chiraunji Lal,200,688,0.1%,Independent, AC View
