x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shibu Soren,1000,"339,542",54.3%,Jharkhand Mukti Morcha, AC View
2,2,Sone Lal Hembrom,1000,"224,527",35.9%,Bharatiya Janta Party, AC View
3,3,Baijnath Manjhi,200,"13,478",2.2%,Bahujan Samaj Party, AC View
4,4,Jonathan Tudu,200,"12,325",2.0%,All Jharkhand Students Union, AC View
5,5,Sona Murmu,200,"9,132",1.5%,Independent, AC View
6,6,Surun Soren,200,"8,039",1.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Kali Charan Dehri,200,"6,285",1.0%,Independent, AC View
8,8,Kaleshwar Soren,200,"4,358",0.7%,Independent, AC View
9,9,Maikel Murmu,200,"3,929",0.6%,Samajwadi Party, AC View
10,10,Samuel Soren,200,"3,503",0.6%,Lok Jan Shakti Party, AC View
