x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhanwar Singh Dangawas,2516,"284,657",45.2%,Bharatiya Janta Party, AC View
2,2,Ramraghunath,2516,"214,030",34.0%,Indian National Congress, AC View
3,3,Mool Chand,331,"107,757",17.1%,Bahujan Samaj Party, AC View
4,4,Bhanwar Singh Rathore,94,"9,888",1.6%,Independent, AC View
5,5,Nawab Khan,94,"7,677",1.2%,National Loktantrik Party, AC View
6,6,Kailash,85,"3,842",0.6%,Independent, AC View
7,7,Bhanu Prakash,85,"3,620",0.6%,Independent, AC View
