x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ram Ji Lal Suman,2885,"212,383",40.0%,Samajwadi Party, AC View
2,2,Kishori Lal Mahaur,2885,"157,595",29.7%,Bharatiya Janta Party, AC View
3,3,Biresh Kumar Alias Dadua,338,"69,554",13.1%,Bahujan Samaj Party, AC View
4,4,Prabhudayal Katheria,253,"54,332",10.2%,Rashtriya Samanta Dal, AC View
5,5,Dr. Shivnarain Gautam,163,"28,108",5.3%,Indian National Congress, AC View
6,6,Vinod Kumar,101,"4,991",0.9%,Independent, AC View
7,7,Bahadur Singh,101,"1,312",0.2%,Independent, AC View
8,8,Achal Singh,101,"1,283",0.2%,Independent, AC View
9,9,Kailash Chand Mahaur,101,"1,090",0.2%,Independent, AC View
10,10,Ambedkari Hasnuram Ambedkari,101,715,0.1%,Independent, AC View
