x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shailendra Kumar,545580,"196,206",35.3%,Samajwadi Party, AC View
2,2,Vachaspati,545580,"195,576",35.2%,Bahujan Samaj Party, AC View
3,3,Dr. Amrit Lal Bharti,858,"100,181",18.0%,Bharatiya Janta Party, AC View
4,4,Basudeo,168,"18,237",3.3%,Apna Dal, AC View
5,5,Shashi Prakash,168,"17,817",3.2%,Lok Jan Shakti Party, AC View
6,6,Mahendra Kuimar,151,"11,410",2.1%,Independent, AC View
7,7,Pancham Lal,119,"4,233",0.8%,Independent, AC View
8,8,Gulab Sonkar,119,"3,636",0.7%,Indian Justice Party, AC View
9,9,Lal Chandra Hela,119,"2,488",0.4%,Shiv Sena, AC View
10,10,Lakhan Singh Raj Pasi,119,"2,067",0.4%,Bharat Kranti Rakshak Party, AC View
11,11,Baijal Kumar,119,"1,805",0.3%,Jharkhand Party, AC View
12,12,Mahendra Singh,119,"1,720",0.3%,Rashtriya Swabhimaan Party, AC View
