x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Avtar Singh Bhadana,1000,"357,284",42.3%,Indian National Congress, AC View
2,2,Mohd. Ilyas,1000,"205,355",24.3%,Indian National Lok Dal, AC View
3,3,Ramchander Bainda,600,"171,714",20.3%,Bharatiya Janta Party, AC View
4,4,Haji Abdul Malik,200,"71,459",8.5%,Bahujan Samaj Party, AC View
5,5,Devender Bhadana,200,"13,042",1.5%,Haryana Vikas Party, AC View
6,6,Dr. K. P. Singh,200,"4,956",0.6%,Independent, AC View
7,7,Chaudhary Akhtar,200,"4,407",0.5%,Samajwadi Party, AC View
8,8,Subhash Baghel,200,"4,172",0.5%,Labour Party (Secular), AC View
9,9,Lokendra Singh,200,"3,920",0.5%,Shiv Sena, AC View
10,10,Chander Bhan Sharma,200,"3,769",0.4%,Independent, AC View
11,11,Baldev Singh,200,"2,063",0.2%,Independent, AC View
12,12,Ram Niwas Rathi,200,"1,097",0.1%,Lok Jan Shakti Party, AC View
13,13,Kamal Godara,200,856,0.1%,Independent, AC View
14,14,Akhtar Husain,200,624,0.1%,Independent, AC View
