x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Y.S. Vivekananda Reddy,1304,"461,431",56.7%,Indian National Congress, AC View
2,2,Venkata Mysura Reddy Mule,1304,"329,757",40.5%,Telugu Desam, AC View
3,3,T Bhaskar Reddy,66,"10,250",1.3%,Independent, AC View
4,4,Indi Reddy Thimma Reddy,66,"5,242",0.6%,Rashtriya Janata Dal, AC View
5,5,Vitta Subba Rao,66,"3,932",0.5%,Independent, AC View
6,6,Kondaboina Sreenivasulu K,66,"1,759",0.2%,Pyramid Party Of India, AC View
7,7,C.Balavarada Reddy,66,"1,115",0.1%,Independent, AC View
8,8,B.Narayana Reddy,66,903,0.1%,Republican Party Of India, AC View
9,9,Putha Ramaprasada Reddy,66,825,0.1%,Ambedkar National Congress, AC View
10,10,Sivanatha Reddy Chadipiralla,66,759,0.1%,Ntr Telugu Desam Party (LAKSHMI PARVATHI), AC View
11,11,C.Gopi Narasimha Reddy,66,746,0.1%,Independent, AC View
12,12,G.Ravindranatha Reddy,66,731,0.1%,Jharkhand Party, AC View
13,13,O.Subba Reddy,66,649,0.1%,Akhil Bharatiya Jan Sangh, AC View
14,14,Pechara Venkateshwar Rao,66,617,0.1%,Telangana Rashtra Samithi, AC View
15,15,N Bhaskara Reddy,66,485,0.1%,Praja Party, AC View
