x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vishnudeo Sai,2600,"329,057",50.8%,Bharatiya Janta Party, AC View
2,2,Rampukar Singh,2600,"254,814",39.3%,Indian National Congress, AC View
3,3,Kripa Shankar Bhagat,200,"27,616",4.3%,Bahujan Samaj Party, AC View
4,4,Govind Singh Neti,200,"21,271",3.3%,Gondvana Gantantra Party, AC View
5,5,Amrit Tirkey,200,"15,677",2.4%,Samajwadi Party, AC View
