x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Koli Patel Somabhai Gandabhai,6200,"219,872",48.3%,Bharatiya Janta Party, AC View
2,2,Savshibhai Kanjibhai Makwana,6200,"185,928",40.8%,Indian National Congress, AC View
3,3,Jinjariya Ratilal Savsi,200,"15,499",3.4%,Bahujan Samaj Party, AC View
4,4,Vaghela Satubha Kanubha,200,"14,740",3.2%,Independent, AC View
5,5,Bhatt Sunil Sanatbhai,200,"6,821",1.5%,Samajwadi Party, AC View
6,6,Patel Amrutlal Hirjibhai,200,"4,015",0.9%,Independent, AC View
7,7,Devjibhai Govindbhai Fatepara,200,"3,764",0.8%,Independent, AC View
8,8,Kanjibhai Shivabhai Patel,200,"2,885",0.6%,Independent, AC View
9,9,Dudhatra Mukundbhai Govindbhai,200,"2,030",0.4%,Independent, AC View
