x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Baleshwar Yadav,193646,"206,850",26.2%,National Loktantrik Party, AC View
2,2,Kunwar Ratanjeet Pratap Narayan Singh,193646,"198,428",25.1%,Indian National Congress, AC View
3,3,N P Kushwaha,10848,"168,869",21.4%,Bahujan Samaj Party, AC View
4,4,Ram Nagina Mishra,1616,"115,975",14.7%,Bharatiya Janta Party, AC View
5,5,Ram Aawad Yadav,562,"66,652",8.4%,Samajwadi Party, AC View
6,6,Ram Lakhan,222,"16,631",2.1%,Independent, AC View
7,7,Dr Prabhakar Mishra,199,"8,902",1.1%,Shiv Sena, AC View
8,8,Amiruddin,184,"7,743",1.0%,Apna Dal, AC View
