x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kanti Singh,800,"299,422",38.0%,Rashtriya Janata Dal, AC View
2,2,Ram Naresh Ram,800,"149,679",19.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
3,3,Brahmeshwar Nath Sigh,800,"148,973",18.9%,Independent, AC View
4,4,Ashok Kumar Verma,800,"147,525",18.7%,Janata Dal (United), AC View
5,5,Haridwar Prasad Singh,200,"11,776",1.5%,Samata Party, AC View
6,6,Narendra Kumar Singh,200,"7,699",1.0%,Samajwadi Party, AC View
7,7,Ram Kundal Sharma,200,"7,050",0.9%,Bahujan Samaj Party, AC View
8,8,Rameshwar Prasad Gupta,200,"5,604",0.7%,Independent, AC View
9,9,Rameshwar Kumar Bharti,200,"4,539",0.6%,Jharkhand Party, AC View
10,10,Rana Singh,200,"2,881",0.4%,Independent, AC View
11,11,Jitendra Tiwary,200,"2,251",0.3%,Akhil Bharatiya Jan Sangh, AC View
