x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lalmuni Chaubey,4000,"205,980",31.7%,Bharatiya Janta Party, AC View
2,2,Dadan Singh,4000,"151,114",23.3%,Independent, AC View
3,3,Shivanand Tiwary,2200,"133,467",20.6%,Rashtriya Janata Dal, AC View
4,4,Shiv Kumar Singh Kushwaha,600,"75,309",11.6%,Bahujan Samaj Party, AC View
5,5,Shushila Devi,400,"32,807",5.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Ram Ekbal Chaudhari,200,"16,639",2.6%,Suheldev Bhartiya Samaj Party, AC View
7,7,Tej Narayan Singh,200,"11,669",1.8%,Communist Party Of India, AC View
8,8,Ranjit Singh,200,"10,378",1.6%,Samajwadi Party, AC View
9,9,Satendra Singh,200,"6,831",1.1%,Independent, AC View
10,10,Bisheshwar Pandey,200,"2,973",0.5%,Independent, AC View
11,11,Lalsa Devi,200,"1,991",0.3%,Independent, AC View
