x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Nand Kumar Sai,1384,"357,108",52.8%,Bharatiya Janta Party, AC View
2,2,Khelsay Singh,1384,"253,656",37.5%,Indian National Congress, AC View
3,3,Ramlakhan,84,"19,474",2.9%,Independent, AC View
4,4,Ramnarayan Singh Ayam,78,"16,214",2.4%,Bahujan Samaj Party, AC View
5,5,Dr. L. S.  Uday,78,"11,186",1.7%,Gondvana Gantantra Party, AC View
6,6,Pravin Kumar,71,"7,461",1.1%,Independent, AC View
7,7,Bernadate,71,"5,909",0.9%,Jharkhand Mukti Morcha, AC View
8,8,Nirmala,71,"5,691",0.8%,Samajwadi Party, AC View
