x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mandlik Sadashivrao Dadoba,95686,"401,922",49.5%,Nationalist Congress Party, AC View
2,2,Mahadik Dhananjay Bhimrao,95686,"387,169",47.7%,Shiv Sena, AC View
3,3,Patrakar Sunanda Prakash More,81,"13,266",1.6%,Peasants And Workers Party Of India, AC View
4,4,Wagh Shankarrao Krishnaji,81,"10,987",1.4%,Bahujan Samaj Party, AC View
