x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajagopal Lagadapati,2400,"519,624",55.1%,Indian National Congress, AC View
2,2,Aswini Dutt Chalasani,2400,"405,037",42.9%,Telugu Desam, AC View
3,3,Nandeti Prabhakar Rao,200,"6,472",0.7%,Bahujan Samaj Party, AC View
4,4,Koneru Vara Lakshmi,200,"5,105",0.5%,Pyramid Party Of India, AC View
5,5,Someswara Rao Madala,200,"3,039",0.3%,Independent, AC View
6,6,Syed Moinuddin,200,"1,443",0.2%,Independent, AC View
7,7,Ramachandra Rao. J,200,"1,268",0.1%,Telangana Rashtra Samithi, AC View
8,8,Domakonda Ravi Kumar,200,"1,005",0.1%,Independent, AC View
9,9,Jakka Taraka Mallikarjuna Rao,200,637,0.1%,Independent, AC View
10,10,Apparao Damalapati,200,549,0.1%,Independent, AC View
11,11,Gatla Venkata Narayana Reddy,200,493,0.1%,Independent, AC View
12,12,Donepudi Srinivas,200,482,0.1%,Independent, AC View
13,13,Gottumukkala Siva Prasadaraju,200,396,0.0%,Independent, AC View
