x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ku. Devendra Singh Yadav,4297,"276,156",47.0%,Samajwadi Party, AC View
2,2,Ashok Ratan Shakya,4297,"224,821",38.3%,Bharatiya Janta Party, AC View
3,3,Ramgopal Shakya,168,"56,873",9.7%,Bahujan Samaj Party, AC View
4,4,Ravindr,111,"22,454",3.8%,Indian National Congress, AC View
5,5,Vikram Singh Rana,81,"2,692",0.5%,Independent, AC View
6,6,Amarpal Singh,81,"2,029",0.3%,Rashtriya Janata Dal, AC View
7,7,Jai Parkash,81,"1,050",0.2%,Proutist Sarva Samaj Party, AC View
8,8,Dev Singh,81,"1,043",0.2%,Independent, AC View
