x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kotla Jayasurya Prakasha Reddy,2200,"433,529",53.0%,Indian National Congress, AC View
2,2,Kambalapadu Ediga Krishnamurthi,2200,"332,431",40.6%,Telugu Desam, AC View
3,3,James,200,"17,410",2.1%,Independent, AC View
4,4,Reddipogu David,200,"12,515",1.5%,Bahujan Samaj Party, AC View
5,5,T. Seshaphani,200,"8,899",1.1%,Independent, AC View
6,6,Dr. Parameshwar Reddy,200,"3,722",0.5%,Pyramid Party Of India, AC View
7,7,Giri Nivarthi Rao Yadav,200,"2,873",0.4%,Independent, AC View
8,8,V. Ravinder Rao,200,"2,723",0.3%,Telangana Rashtra Samithi, AC View
9,9,R. V. Mohana Reddy,200,"2,624",0.3%,Jharkhand Party, AC View
10,10,K. V. Krishna Kumar,200,"2,083",0.3%,Independent, AC View
