x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,A. B. A. Ghani Khan Choudhury,1890,"412,913",48.9%,Indian National Congress, AC View
2,2,Pranab Das,1890,"301,805",35.8%,Communist Party Of India (MARXIST), AC View
3,3,Badsha Alam,163,"86,525",10.3%,Bharatiya Janta Party, AC View
4,4,Sadhan Chatterjee,95,"18,813",2.2%,Independent, AC View
5,5,Tushar Kanti Besra,79,"5,748",0.7%,Independent, AC View
6,6,Majedur Rahaman,79,"5,496",0.7%,Independent, AC View
7,7,Lawrence Hansda,79,"5,364",0.6%,Bahujan Samaj Party, AC View
8,8,Parimal Mardi,79,"5,283",0.6%,Independent, AC View
9,9,Atul Chandra Mandal,79,"3,794",0.4%,Independent, AC View
10,10,Naresh Rishi,79,"3,370",0.4%,Independent, AC View
