x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shyama Charan Gupt,2500,"185,099",35.2%,Samajwadi Party, AC View
2,2,Ram Sajeewan,2500,"128,795",24.5%,Bahujan Samaj Party, AC View
3,3,Bhairo Prasad Misra,1977,"122,405",23.3%,Bharatiya Janta Party, AC View
4,4,Prakash Narain,262,"38,882",7.4%,Indian National Congress, AC View
5,5,Lakhan Lal,163,"13,786",2.6%,Independent, AC View
6,6,Chandra Pal,154,"12,372",2.4%,Communist Party Of India, AC View
7,7,Mo. Shafiq,131,"5,200",1.0%,Apna Dal, AC View
8,8,Amrit Lal,131,"4,502",0.9%,Savarn Samaj Party, AC View
9,9,Mangi,120,"3,824",0.7%,Independent, AC View
10,10,Sultan,120,"3,192",0.6%,Ambedkar Samaj Party, AC View
11,11,Natthoo Urf Devnath,120,"3,180",0.6%,Independent, AC View
12,12,Tara Chandra,120,"2,776",0.5%,Loktantrik Chetna Party, AC View
13,13,Baijnath Sahu,120,"2,322",0.4%,Parivartan Samaj Party, AC View
