x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Kumar Pradhan,6600,"214,701",35.7%,Bharatiya Janta Party, AC View
2,2,Ravi Gautam,6600,"173,551",28.9%,Bahujan Samaj Party, AC View
3,3,Devi Dayal,1000,"109,114",18.2%,Indian National Congress, AC View
4,4,Ram Niwas Balmiki,600,"86,374",14.4%,Rashtriya Lok Dal, AC View
5,5,Ram Sahai,200,"6,446",1.1%,Independent, AC View
6,6,Jagpal Singh,200,"3,632",0.6%,Independent, AC View
7,7,Om Prakash,200,"2,140",0.4%,Independent, AC View
8,8,Kripal Singh,200,"2,006",0.3%,Bahujan Kisan Dal, AC View
9,9,Mahendra Singh,200,"1,931",0.3%,Independent, AC View
10,10,Magan Lal,200,809,0.1%,Akhil Bharat Hindu Mahasabha, AC View
