x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Umakant Yadav,4600,"237,438",35.1%,Bahujan Samaj Party, AC View
2,2,Chandra Nath Singh,4600,"182,056",26.9%,Samajwadi Party, AC View
3,3,Keshari Nath Tripathi,3200,"170,939",25.3%,Bharatiya Janta Party, AC View
4,4,Safdar Raza Khan,200,"29,746",4.4%,Apna Dal, AC View
5,5,Deovrat Mishra,200,"18,087",2.7%,Indian National Congress, AC View
6,6,Vijay Kumar,200,"11,492",1.7%,Independent, AC View
7,7,Sitaram Patel,200,"6,681",1.0%,Communist Party Of India, AC View
8,8,Anil Kumar Alias Awadheshanand,200,"4,312",0.6%,Independent, AC View
9,9,Jagannath Verma (PATRAKAR),200,"3,401",0.5%,Independent, AC View
10,10,Mathura Prasad,200,"3,202",0.5%,Independent, AC View
11,11,Rekha Gupta,200,"3,121",0.5%,Suheldev Bhartiya Samaj Party, AC View
12,12,Choudhari Ram Pravesh Nishad,200,"2,612",0.4%,Pragtisheel Manav Samaj Party, AC View
13,13,Mujmmis Husen,200,"1,646",0.2%,Navbharat Nirman Party, AC View
14,14,Ashok Kumar,200,"1,638",0.2%,Independent, AC View
