x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shingada Damodar Barku,3600,"286,004",41.9%,Indian National Congress, AC View
2,2,Adv. Chintaman Wanga,3600,"222,641",32.6%,Bharatiya Janta Party, AC View
3,3,Varatha Ramji Mahadu,600,"118,090",17.3%,Communist Party Of India (MARXIST), AC View
4,4,Haji. D. Abdullah,200,"29,024",4.2%,Bahujan Samaj Party, AC View
5,5,A. Rasheed Mamu,200,"27,594",4.0%,Rashtriya Samajik Nayak Paksha, AC View
