x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhubneshwar Prasad Mehta,1482,"356,058",50.5%,Communist Party Of India, AC View
2,2,Yashwant Sinha,1482,"250,730",35.5%,Bharatiya Janta Party, AC View
3,3,Chandra Prakash Choudhary,109,"36,710",5.2%,All Jharkhand Students Union, AC View
4,4,Heera Gope,86,"14,563",2.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Snehlata Devi,86,"11,223",1.6%,Independent, AC View
6,6,Shyam Bihari Prajapati,86,"10,090",1.4%,Bahujan Samaj Party, AC View
7,7,Mahabir Lal Bishwakarma,86,"10,056",1.4%,Independent, AC View
8,8,Sushil Kumar Singh,78,"3,838",0.5%,Independent, AC View
9,9,Arvind Kumar,76,"2,508",0.4%,Independent, AC View
10,10,Mukesh Kumar,76,"2,502",0.4%,Lok Jan Shakti Party, AC View
11,11,Prashant Sahay,76,"2,425",0.3%,Independent, AC View
12,12,Mahendra Ram,76,"1,797",0.3%,Independent, AC View
13,13,Vijay Prakash,76,"1,533",0.2%,Samajwadi Party, AC View
14,14,Niranjan Mahto,76,"1,406",0.2%,Independent, AC View
