x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Naranbhai  Rathwa,7800,"246,855",44.4%,Indian National Congress, AC View
2,2,Ramsinh Rathwa,7800,"210,616",37.8%,Bharatiya Janta Party, AC View
3,3,Tadvi Dineshbhai Balubhai,200,"32,634",5.9%,Bharatiya Navshakti Party, AC View
4,4,Rathwa Raysingbhai Bhangdabhai,200,"23,113",4.2%,Independent, AC View
5,5,Kanubhai Tadvi,200,"22,728",4.1%,Bahujan Samaj Party, AC View
6,6,Naranbhai Rathwa,200,"12,186",2.2%,Independent, AC View
7,7,Tadvi Ramdas Kantibhai,200,"8,384",1.5%,Samajwadi Party, AC View
