x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Chidambaram, P.",544,"400,393",60.2%,Indian National Congress, AC View
2,2,Karuppiah. S P,544,"237,668",35.8%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Subramanian Mutharaiyar. M Arimalam,60,"9,709",1.5%,Independent, AC View
4,4,Nowshad Ali Khan. K,60,"6,503",1.0%,Bahujan Samaj Party, AC View
5,5,Chidambaram. N,60,"4,512",0.7%,Independent, AC View
6,6,Chidambaram. S P,60,"1,503",0.2%,Independent, AC View
7,7,Venkatachalapathi. A R,60,"1,487",0.2%,Rashtriya Lok Dal, AC View
8,8,Irudhayaraj,60,"1,298",0.2%,Independent, AC View
9,9,Chidambaram. K,60,"1,215",0.2%,Independent, AC View
10,10,Gunasekaran. P,60,"1,067",0.2%,Independent, AC View
11,11,Shanmugam. C,60,961,0.1%,Independent, AC View
12,12,Kaayambu. V,60,892,0.1%,Independent, AC View
