x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prabhunath Singh,6800,"283,506",42.7%,Janata Dal (United), AC View
2,2,Jitendra Swami,6800,"237,041",35.7%,Rashtriya Janata Dal, AC View
3,3,Dr. Mahachandra Prasad Singh,400,"99,807",15.0%,Independent, AC View
4,4,Kanhaiya Yadav,200,"12,435",1.9%,Bahujan Samaj Party, AC View
5,5,Rambahadur Singh,200,"9,616",1.4%,Samajwadi Janata Party (RASHTRIYA), AC View
6,6,Surendra Ram,200,"6,646",1.0%,Independent, AC View
7,7,Girja Devi,200,"4,680",0.7%,Independent, AC View
8,8,Vishundeo Ram,200,"4,284",0.6%,Independent, AC View
9,9,Sawaliya Ram,200,"2,527",0.4%,Independent, AC View
10,10,Dinesh Rai,200,"1,948",0.3%,Independent, AC View
11,11,Brajesh Singh,200,"1,944",0.3%,Independent, AC View
