x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandra Bhushan Singh (MUNNOO BABU),492400,"176,129",26.5%,Samajwadi Party, AC View
2,2,Louise Khurshid,492400,"173,384",26.1%,Indian National Congress, AC View
3,3,Mukesh Rajput,7200,"136,120",20.5%,Bharatiya Janta Party, AC View
4,4,Nagendra Singh Shakya,3000,"116,046",17.4%,Bahujan Samaj Party, AC View
5,5,Swami Sacchidanand Hari Sakshi  Alias Sakshi Ji Maharaj,600,"41,349",6.2%,Independent, AC View
6,6,Praveen,200,"4,486",0.7%,Apna Dal, AC View
7,7,Ashok Kumar Pal,200,"4,420",0.7%,Labour Party (Secular), AC View
8,8,"Suresh Saraswat ""ellayachi Wala""",200,"3,750",0.6%,Independent, AC View
9,9,Wazid Ali,200,"2,036",0.3%,Independent, AC View
10,10,Vijai Swarup,200,"2,035",0.3%,Independent, AC View
11,11,Mohd. Usman,200,"1,298",0.2%,Independent, AC View
12,12,Munesh Singh,200,"1,155",0.2%,Independent, AC View
13,13,Rafi Ansari,200,"1,008",0.2%,Bharatiya Nagrik Party, AC View
14,14,Sher Singh,200,904,0.1%,Rashtriya Swabhimaan Party, AC View
15,15,Chhatra  Pal Singh,200,728,0.1%,Independent, AC View
16,16,Satya Prakash Upadhyaya,200,587,0.1%,Samata Party, AC View
