x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Taslimuddin,1000,"420,331",51.7%,Rashtriya Janata Dal, AC View
2,2,Syed Shahnawaz Hussain,1000,"259,834",31.9%,Bharatiya Janta Party, AC View
3,3,Abdul Jalil Mastan,200,"77,356",9.5%,Samajwadi Party, AC View
4,4,Vishwanath Kejariwal,200,"15,234",1.9%,Bahujan Samaj Party, AC View
5,5,Syam Sunder Thakur,200,"12,261",1.5%,Independent, AC View
6,6,Chhotelal Mahto,200,"11,479",1.4%,Independent, AC View
7,7,Lal Chand Jalan,200,"6,822",0.8%,Independent, AC View
8,8,Nevi Lal Das,200,"3,634",0.4%,Independent, AC View
9,9,Dilip Kumar Panjiar,200,"3,278",0.4%,Independent, AC View
10,10,Dev Kumar Sah,200,"3,086",0.4%,Independent, AC View
