x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Arvind Kumar Sharma,800,"318,948",39.0%,Indian National Congress, AC View
2,2,I. D. Swami,800,"154,186",18.8%,Bharatiya Janta Party, AC View
3,3,Ashok Kumar Arora,600,"113,510",13.9%,Indian National Lok Dal, AC View
4,4,Raj Kumar,400,"82,430",10.1%,Ekta Shakti, AC View
5,5,Ashok Kumar Kashyap,400,"67,392",8.2%,Bahujan Samaj Party, AC View
6,6,Kuldip Sharma,200,"27,223",3.3%,Independent, AC View
7,7,Ram Chander Jangra,200,"21,371",2.6%,Haryana Vikas Party, AC View
8,8,Naresh Sachdeva,200,"6,282",0.8%,Independent, AC View
9,9,Mahinder Singh Rana,200,"4,807",0.6%,Independent, AC View
10,10,Raghumal Bhatt,200,"3,696",0.5%,Samajwadi Party, AC View
11,11,Ram Mehar Singh,200,"2,490",0.3%,Independent, AC View
12,12,Mahinder Singh,200,"2,487",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
13,13,Rishi Ram Gupta,200,"2,364",0.3%,Independent, AC View
14,14,Rajbir Singh Chauhan,200,"2,088",0.3%,Independent, AC View
15,15,Angrej Singh Joon,200,"1,977",0.2%,Rashtriya Garib Dal, AC View
16,16,Duli Chand Malik,200,"1,888",0.2%,Independent, AC View
17,17,Surinder Singh Hooda,200,"1,729",0.2%,Lok Jan Shakti Party, AC View
18,18,Raj Kumar Kashyap,200,"1,707",0.2%,Independent, AC View
19,19,Roshan Lal Bindal,200,"1,315",0.2%,Shiv Sena, AC View
20,20,Premo Alias Premvati Kashyap,200,"1,037",0.1%,Federal Congress Of India, AC View
