x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Omar Abdullah,2400,"98,422",50.3%,Jammu & Kashmir National Conference, AC View
2,2,Advocate Ghulam Nabi Lone,2400,"75,263",38.5%,Jammu & Kashmir Peoples Democratic Party, AC View
3,3,Nazir Ahmad Khan,200,"6,873",3.5%,Independent, AC View
4,4,Iftikhar Sadiq,200,"3,154",1.6%,Bharatiya Janta Party, AC View
5,5,Mushtaq Shamim,200,"2,549",1.3%,Independent, AC View
6,6,Peer Ali Shah,200,"1,519",0.8%,Jammu And Kashmir Awami League, AC View
7,7,Krishan Kumar,200,"1,327",0.7%,Independent, AC View
8,8,Bansi Lal,200,"1,282",0.7%,Bahujan Samaj Party, AC View
9,9,Darakshan Andrabi,200,"1,265",0.6%,Socialistic Democratic Party, AC View
10,10,Abdul Rashid Lone,200,"1,148",0.6%,Independent, AC View
11,11,Bashir Ahmad,200,"1,084",0.6%,J & K National Panthers Party, AC View
12,12,Mehbooba,200,956,0.5%,Independent, AC View
13,13,Mohmad Yousuf  Wani,200,836,0.4%,All India Forward Bloc, AC View
