x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Pro. S.P Singh Baghel,1160,"287,091",44.1%,Samajwadi Party, AC View
2,2,Pratyendra Pal Singh (PAPPU BHAIYA),1160,"181,023",27.8%,Bharatiya Janta Party, AC View
3,3,Updesh Singh Chauhan,662,"149,654",23.0%,Bahujan Samaj Party, AC View
4,4,Shivraj Singh Yadav,100,"12,738",2.0%,Indian National Congress, AC View
5,5,Ramesh Chandra Kushwah,91,"5,437",0.8%,Rashtriya Samanta Dal, AC View
6,6,Yatendra Kumar,91,"3,693",0.6%,Independent, AC View
7,7,Dr. Jaswant Singh Yadav,91,"3,456",0.5%,Rashtriya Janata Dal, AC View
8,8,Deshraj,91,"1,959",0.3%,Independent, AC View
9,9,Prempal,91,"1,442",0.2%,Independent, AC View
10,10,Shakoor Khan,91,"1,437",0.2%,National Loktantrik Party, AC View
11,11,Puttan Singh,91,758,0.1%,Independent, AC View
12,11,Dr. Bharat Singh Baghel,91,758,0.1%,Labour Party (Secular), AC View
13,13,Vivek Kumar Sharma,91,513,0.1%,Apna Dal, AC View
14,14,Greesh Chandra,91,397,0.1%,Independent, AC View
