x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramesh Bais,936,"376,029",54.5%,Bharatiya Janta Party, AC View
2,2,Shyamacharan Shukla,936,"246,510",35.8%,Indian National Congress, AC View
3,3,Dr. Heeraman Banjare,94,"32,252",4.7%,Bahujan Samaj Party, AC View
4,4,Dr. Ramkumar Sirmor,76,"14,330",2.1%,Independent, AC View
5,5,Radheshyam Sen,68,"6,192",0.9%,Independent, AC View
6,6,Manmohan Singh Thakur (GIRDHARI PANDEY),68,"2,944",0.4%,Independent, AC View
7,7,Balram Singh Yadav Alias Ballu Bhaiya,68,"2,558",0.4%,Samajwadi Party, AC View
8,8,Nanha Markandey,68,"2,502",0.4%,Independent, AC View
9,9,Patrakar Bimal Kumar Sahu Sandi Bangla,68,"1,560",0.2%,Independent, AC View
10,10,Kabeer Bhakt Aswant Das Sahu Karorpati Jeevan Bima Agent,68,"1,410",0.2%,Independent, AC View
11,11,Prakash Golcha (SARAFA SANSAD),68,"1,277",0.2%,Independent, AC View
12,12,Madhusudan Mishra Ji,68,992,0.1%,Akhil Bharat Hindu Mahasabha, AC View
13,13,Seedheram,68,961,0.1%,Gondvana Gantantra Party, AC View
