x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Akshay Pratap Singh ""gopal Ji""",2145,"238,137",41.6%,Samajwadi Party, AC View
2,2,Rajkumari Ratna Singh,2145,"168,865",29.5%,Indian National Congress, AC View
3,3,"Shiv Prakash Mishra ""senani""",349,"82,876",14.5%,Bahujan Samaj Party, AC View
4,4,Roshan Lal,140,"22,115",3.9%,Apna Dal, AC View
5,5,Ramashankar Singh,133,"20,836",3.6%,Bharatiya Janta Party, AC View
6,6,Surendra Bahadur,118,"12,954",2.3%,Independent, AC View
7,7,Dr. Sri Ram Pal,99,"4,778",0.8%,Independent, AC View
8,8,Shyam Narayan,99,"4,252",0.7%,Independent, AC View
9,9,Ram Milan,99,"3,578",0.6%,Independent, AC View
10,10,Tej Bahadur Singh,99,"3,173",0.6%,Janata Vikas Party, AC View
11,11,Muheed,99,"2,588",0.5%,Independent, AC View
12,12,Rajesh Kumar,99,"2,526",0.4%,Independent, AC View
13,13,Ashok Kumar,99,"2,118",0.4%,Independent, AC View
14,14,Pradeep Kumar Singh,99,"2,030",0.4%,Independent, AC View
15,15,Kunwar Amresh Singh,99,"1,722",0.3%,Independent, AC View
