x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Mohan, P.",1200,"414,433",56.1%,Communist Party Of India (MARXIST), AC View
2,2,"Bose, A K.",1200,"281,593",38.1%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,"Sakthivel, P.",200,"12,093",1.6%,Janata Dal (United), AC View
4,4,Subramanian Swamy,200,"12,009",1.6%,Janta Party, AC View
5,5,"Bhaskaran, Pon.",200,"5,514",0.7%,Independent, AC View
6,6,Mahalingam. N,200,"5,478",0.7%,Independent, AC View
7,7,"Radhakrishnan, S.",200,"2,646",0.4%,Bahujan Samaj Party, AC View
8,8,Rajendran. M,200,"1,067",0.1%,Independent, AC View
9,9,Baskaran. S,200,"1,062",0.1%,Independent, AC View
10,10,"Pandi, V",200,750,0.1%,Independent, AC View
11,11,Kannan. G,200,705,0.1%,Independent, AC View
12,12,Ramadoss. M,200,688,0.1%,Akhil Bharat Hindu Mahasabha, AC View
13,13,"Thangaiah, P G.",200,614,0.1%,Independent, AC View
14,14,"Arun Thamilarasan, K.",200,580,0.1%,Independent, AC View
15,15,"Chandrasehar, K",200,448,0.1%,Independent, AC View
