x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Danve Raosaheb Dadarao Patil,5245,"369,630",48.9%,Bharatiya Janta Party, AC View
2,2,Pawar Uttamsingh Rajdharsingh,5245,"308,298",40.8%,Indian National Congress, AC View
3,3,Shaikh Feroj Ali,97,"17,572",2.3%,Independent, AC View
4,4,Sow. Archana Milind Khillare,97,"17,115",2.3%,Bahujan Samaj Party, AC View
5,5,Gadekar Ramu,88,"11,993",1.6%,Bharipa Bahujan Mahasangh, AC View
6,6,Shaikh Usman Hussain,80,"8,174",1.1%,Independent, AC View
7,7,Shinde Babasaheb,80,"5,789",0.8%,Independent, AC View
8,8,Tanpure Shivaji Arjunrao,80,"3,493",0.5%,Shivrajya Party, AC View
9,9,Pachare Pandit,80,"3,087",0.4%,Independent, AC View
10,10,Garbade Parmeshwar,80,"2,555",0.3%,Independent, AC View
11,11,Chechani Rajendrakumar,80,"2,416",0.3%,Independent, AC View
12,12,Nade Dyaneshwar Dagdu,80,"2,328",0.3%,Independent, AC View
13,13,Shaikh Yakub Sk. Hussain Ansari,80,"2,126",0.3%,Bharatiya Minorities Suraksha Mahasangh, AC View
14,14,Dhabe Bhagwan Namdev,80,"1,789",0.2%,Independent, AC View
