x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Barad Jasubhai Dhanabhai,8751,"329,712",50.1%,Indian National Congress, AC View
2,2,Chikhaliya Bhavnaben Devarajbhai,8751,"288,791",43.9%,Bharatiya Janta Party, AC View
3,3,Parmar Umarbhai Habibbhai,82,"14,759",2.2%,Independent, AC View
4,4,Manvar Madhukar Bhojabhai,82,"11,757",1.8%,Bahujan Samaj Party, AC View
5,5,Chavda Khimjibhai Anandbhai,74,"7,740",1.2%,Independent, AC View
6,6,Dangar Nitaben Rambhai,74,"3,263",0.5%,Samajwadi Party, AC View
7,7,Gorasiya Pravinbhai Mohanbhai,74,"2,684",0.4%,Janmangal Paksh, AC View
