x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shrichand Kriplani,800,"375,385",55.9%,Bharatiya Janta Party, AC View
2,2,Vishwa Vijay Singh,800,"239,615",35.7%,Indian National Congress, AC View
3,3,Radha Devi,200,"32,114",4.8%,Communist Party Of India, AC View
4,4,S. S. Stone,200,"12,798",1.9%,Bahujan Samaj Party, AC View
5,5,Chand Mal Meghwal,200,"12,565",1.9%,Akhil Bharatiya Congress Dal (Ambedkar), AC View
