x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jai Parkash,600,"407,210",52.9%,Indian National Congress, AC View
2,2,Surender Singh Barwala,600,"224,442",29.2%,Indian National Lok Dal, AC View
3,3,Swami Raghvanand,200,"64,722",8.4%,Bharatiya Janta Party, AC View
4,4,Sant Ram Prakash,200,"25,060",3.3%,Bahujan Samaj Party, AC View
5,5,Kanwal Singh,200,"19,475",2.5%,Haryana Vikas Party, AC View
6,6,Sunil Kumar,200,"9,686",1.3%,Independent, AC View
7,7,Ramji Lal,200,"4,917",0.6%,Independent, AC View
8,8,Satpal,200,"3,115",0.4%,Independent, AC View
9,9,Shamsher,200,"2,933",0.4%,Independent, AC View
10,10,Ramniwas,200,"2,598",0.3%,Samajwadi Party, AC View
11,11,Randhir Singh,200,"2,105",0.3%,Independent, AC View
12,12,Balwan Arya,200,"1,386",0.2%,Independent, AC View
13,13,Parmeshwar Das,200,666,0.1%,Independent, AC View
14,14,Pritam Kumar,200,575,0.1%,Independent, AC View
15,15,Niraj,200,535,0.1%,Independent, AC View
16,16,Atam Prakash,200,426,0.1%,Independent, AC View
