x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhavani Rajenthiran. M. S. K.,1242,"335,287",49.9%,Dravida Munetra Kazhagam, AC View
2,2,Murugesan. C,1242,"225,337",33.5%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Kannappan. S,184,"79,507",11.8%,Janata Dal (United), AC View
4,4,Veeraya. T,79,"6,858",1.0%,Independent, AC View
5,5,Allapichai. E,79,"5,223",0.8%,Bahujan Samaj Party, AC View
6,6,Mohideen Abdul Kader. M,79,"3,314",0.5%,Independent, AC View
7,7,Sabapathy. K,79,"2,768",0.4%,Samajwadi Party, AC View
8,8,Maripitchai. K,79,"2,457",0.4%,Independent, AC View
9,9,Toothai Selvam. M,79,"2,209",0.3%,Independent, AC View
10,10,Bose. G,79,"2,150",0.3%,Independent, AC View
11,11,Karuppaiah. P,79,"1,750",0.3%,Independent, AC View
12,12,Muthukkarungan. M,79,"1,558",0.2%,Independent, AC View
13,13,Ankajsamy. A,79,"1,323",0.2%,Independent, AC View
14,14,Dhanabalan. A,79,"1,040",0.2%,Independent, AC View
15,15,Karuppiya. P,79,965,0.1%,Independent, AC View
16,16,Sengairaju. M,79,941,0.1%,Independent, AC View
17,17,Tamilarasan. M,79,886,0.1%,Independent, AC View
18,18,Saravanamurugan. M,79,814,0.1%,Independent, AC View
