x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chhatar Singh Darbar,15600,"345,468",49.1%,Bharatiya Janta Party, AC View
2,2,Umang Singhar,15600,"312,857",44.5%,Indian National Congress, AC View
3,3,Ram Singh Patel,200,"22,326",3.2%,Independent, AC View
4,4,Shripal Singh Darbar,200,"11,460",1.6%,Bahujan Samaj Party, AC View
5,5,Mohan Singh Dawar,200,"11,261",1.6%,Samajwadi Party, AC View
