x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Babulal Marandi,1000,"366,656",44.4%,Bharatiya Janta Party, AC View
2,2,Champa Verma,1000,"211,712",25.6%,Jharkhand Mukti Morcha, AC View
3,3,Raj Kumar Yadav,400,"136,554",16.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Tilakdhari Prasad Singh,200,"53,806",6.5%,Indian National Congress, AC View
5,5,Mahesh Ram,200,"17,053",2.1%,Bahujan Samaj Party, AC View
6,6,Ram Balak Choudhary,200,"14,129",1.7%,Independent, AC View
7,7,Deo Charan Das,200,"9,215",1.1%,Independent, AC View
8,8,Krishnadeo Yadav,200,"5,731",0.7%,Samajwadi Party, AC View
9,9,Umesh Chandra Trivedi,200,"5,540",0.7%,Jharkhand Party, AC View
10,10,Yogendra Kumar Sinha,200,"5,314",0.6%,Independent, AC View
