x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Harish Nagpal,74219,"287,522",32.5%,Independent, AC View
2,2,Mahmood Madni,74219,"269,638",30.5%,Rashtriya Lok Dal, AC View
3,3,Aley Hasan,1451,"168,698",19.1%,Bahujan Samaj Party, AC View
4,4,Chetan Chauhan,758,"130,519",14.7%,Bharatiya Janta Party, AC View
5,5,Vikram Singh,148,"7,949",0.9%,Indian National Congress, AC View
6,6,Sanjay,133,"6,040",0.7%,Independent, AC View
7,7,Sarfaraj Ahmad,133,"4,074",0.5%,Independent, AC View
8,8,Ranveer,133,"2,358",0.3%,Independent, AC View
9,9,Ramesh Singh,133,"1,579",0.2%,Independent, AC View
10,10,Shaveer,133,"1,246",0.1%,Independent, AC View
11,11,Nasim Khan,133,"1,203",0.1%,Rashtriya Janata Dal, AC View
12,12,Matlub,133,"1,108",0.1%,Rashtriya Swabhimaan Party, AC View
13,13,Narendra Sani,133,962,0.1%,Shiv Sena, AC View
14,14,Jabar Singh,133,942,0.1%,Indian Justice Party, AC View
15,15,Yad Ram,133,676,0.1%,Labour Party (Secular), AC View
16,16,Naresh,133,645,0.1%,Independent, AC View
