x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prasanna Kumar Patasani,2000,"437,762",51.3%,Biju Janata Dal, AC View
2,2,Soumya Ranjan Patnaik,2000,"325,483",38.1%,Indian National Congress, AC View
3,3,Pramila Behera,200,"36,421",4.3%,Independent, AC View
4,4,B. Ramachandra,200,"17,131",2.0%,Independent, AC View
5,5,Pramod Samantara,200,"8,526",1.0%,Republican Party Of India, AC View
6,6,Badri Narayan Routray,200,"8,328",1.0%,Bahujan Samaj Party, AC View
7,7,Shanti Das,200,"6,531",0.8%,Samajwadi Party, AC View
8,8,Santosh Kumar Mishra,200,"5,176",0.6%,Akhil Bharat Hindu Mahasabha, AC View
9,9,Sushant Kumar Choudhury,200,"4,021",0.5%,Janata Dal (United), AC View
10,10,Kulamani Sahoo,200,"3,626",0.4%,Independent, AC View
