x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,George Fernandes,192200,"370,127",47.2%,Janata Dal (United), AC View
2,2,Bhagwan Lal Sahani,192200,"360,434",46.0%,Rashtriya Janata Dal, AC View
3,3,Maheshwar Prasad Yadav,200,"14,895",1.9%,Samajwadi Party, AC View
4,4,Shyam Kalyan Paswan,200,"7,684",1.0%,Independent, AC View
5,5,Jitendra Yadav,200,"7,027",0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Rameshwar Rai,200,"5,824",0.7%,Bahujan Samaj Party, AC View
7,7,Shivnath Prasad Gupta,200,"3,342",0.4%,Independent, AC View
8,8,Anurodh Pragat,200,"2,707",0.3%,Independent, AC View
9,9,Dinesh Prasad Chaudhary,200,"2,638",0.3%,Independent, AC View
10,10,Anant Pd. Tulsyan,200,"2,584",0.3%,Akhil Bharat Hindu Mahasabha, AC View
11,11,Arvind Choudhary,200,"2,476",0.3%,Rashtriya Lok Seva Morcha, AC View
12,12,Devendra Rakesh,200,"1,711",0.2%,Independent, AC View
13,13,Bhikhari Ram,200,"1,361",0.2%,Independent, AC View
14,14,Parmanand Singh,200,"1,286",0.2%,Independent, AC View
