x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Anirudh Prasad Alias Sadhu Yadav,400,"336,016",48.4%,Rashtriya Janata Dal, AC View
2,2,Prabhu Dayal Singh,400,"143,097",20.6%,Janata Dal (United), AC View
3,3,Kali Prasad Panday,400,"136,424",19.6%,Independent, AC View
4,4,Chhathu Sah,200,"43,425",6.3%,Bahujan Samaj Party, AC View
5,5,Ram Naresh Ram,200,"11,023",1.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Sushma Devi,200,"7,563",1.1%,Independent, AC View
7,7,Paras Nath Pathak,200,"4,694",0.7%,Samajwadi Party, AC View
8,8,Monika Tiwari,200,"4,312",0.6%,Bharatiya Ekta Dal, AC View
9,9,Pramod Kumar Patel,200,"4,294",0.6%,Samata Party, AC View
10,10,Dina Nath Manjhi,200,"3,644",0.5%,Independent, AC View
