x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Zora Singh Maan,171200,"357,102",41.2%,Shiromani Akali Dal, AC View
2,2,Jagmeet Singh Brar,171200,"345,563",39.8%,Indian National Congress, AC View
3,3,Mohan Singh Falian Wala,400,"101,921",11.7%,Bahujan Samaj Party, AC View
4,4,Inderjit Singh Zira,200,"27,941",3.2%,Independent, AC View
5,5,Vardev Singh,200,"8,697",1.0%,Independent, AC View
6,6,Dhian Singh Mand,200,"7,548",0.9%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
7,7,Mahinderjit Singh,200,"5,495",0.6%,Independent, AC View
8,8,Paramjit Singh Desal,200,"2,486",0.3%,Independent, AC View
9,9,Anoop Singh,200,"2,443",0.3%,Lok Jan Shakti Party, AC View
10,10,Nardev Singh,200,"1,819",0.2%,Independent, AC View
11,11,Ajay Daniel ( TINKU ),200,"1,126",0.1%,Independent, AC View
12,12,Ashok Kumar,200,"1,112",0.1%,Independent, AC View
13,13,Des Raj Deora,200,995,0.1%,Independent, AC View
14,14,Mathra Dass,200,878,0.1%,Proutist Sarva Samaj Party, AC View
15,15,Gursewak Singh,200,772,0.1%,Independent, AC View
16,16,Som Parkash,200,742,0.1%,Bharatiya Gaon Taj Dal, AC View
